issue,issue_title,start_date,end_date,rank,track_id,song_name,artist_name,qq_track_mid,new_flag,last_week_rank,on_chart_weeks,history_highest_rank,uni_index,play_heat,spread,preference,sales,recommendation,cover_url
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,146,495396282,一曲相思(欲问青天这人生有几何),海来阿木,0029SPEq1UThNj,False,131,0,0,81.31088,70.48,0.0,0.0,11.35,19.38,https://y.gtimg.cn/music/photo_new/T002R500x500M0000034yzah0TRjti_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,147,492295463,隐瞒,TF_ING邓佳鑫,002Bw7Br2V7OZF,False,136,0,0,81.19437,50.97,0.0,0.0,12.7,52.92,https://y.gtimg.cn/music/photo_new/T002R500x500M000004A6rAz2YPGz5_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,148,513183074,老歌,许嵩,001dHWRw44FBP3,False,138,0,0,81.1486,69.43,0.0,0.0,3.05,40.26,https://y.gtimg.cn/music/photo_new/T002R500x500M000001Oqn952HAPRk_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,149,532082556,Too Many Lies,钱锟 (KUN),000ZXvVA0u0JGI,False,133,0,0,80.9852,51.28,0.0,0.0,44.1,44.44,https://y.gtimg.cn/music/photo_new/T002R500x500M000004fXplH0mttA1_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,150,533340250,逞强,丁禹兮,002l3OmG2lEfdB,False,160,0,0,80.97141,65.76,0.0,0.0,25.53,41.35,https://y.gtimg.cn/music/photo_new/T002R500x500M000004HXwrK4YUDaz_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,151,532366382,天色晚了,张远,0005ggKe3chYYK,False,106,0,0,80.84681,69.12,0.0,0.0,4.07,36.22,https://y.gtimg.cn/music/photo_new/T002R500x500M000004EF9yp3n5tuL_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,152,485736028,Run Wild（向风而野）,是晚星呀,004dZt8y0kkzGX,False,150,0,0,80.74642,69.33,0.0,0.0,14.88,21.04,https://y.gtimg.cn/music/photo_new/T002R500x500M000002I05GE3f5zSh_3.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,153,512967685,赤子,周深,0010pjD24VRte6,False,152,0,0,80.73672,63.79,0.0,0.0,10.27,45.12,https://y.qq.com/music/photo_new/T062R500x500M0000015O72c2P9HAO.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,154,513694963,爱你是我的秘密,庄淇玟29,000fQYli0zRiOx,False,0,0,0,80.62003,68.5,0.0,0.0,5.29,34.9,https://y.gtimg.cn/music/photo_new/T002R500x500M000003Wra153uFebP_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,155,480650224,世界之巅,汪苏泷,002DIIhu0OSRN1,False,167,0,0,80.52485,63.75,0.0,0.0,4.93,44.9,https://y.gtimg.cn/music/photo_new/T002R500x500M000000A1M903iHvyT_4.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,156,491996827,别来无恙,任素汐,000bBKeM3mhVCL,False,146,0,0,80.46619,69.1,0.0,0.0,2.07,27.29,https://y.gtimg.cn/music/photo_new/T002R500x500M0000033vNiW2uLR2S_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,157,485769620,月下煮茶,陈佳,002iOnEw2PFuF6,False,147,0,0,80.42261,68.94,0.0,0.0,3.83,25.6,https://y.gtimg.cn/music/photo_new/T002R500x500M0000001LdBa3HeROT_5.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,158,491996849,张仙语三,任素汐,004Jrpe7322cCK,False,142,0,0,80.4064,69.18,0.0,0.0,3.07,22.04,https://y.gtimg.cn/music/photo_new/T002R500x500M0000033vNiW2uLR2S_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,159,531181249,玄翎谣,"鸣潮先约电台,jkinss,薄荷_Miint",000rB2Ck1bZTZW,False,115,0,0,80.36885,67.77,0.0,0.0,1.05,37.25,https://y.gtimg.cn/music/photo_new/T002R500x500M000001rovrt1tUywT_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,160,520238249,看山,"方大树,灯叔",00445tP34GOx8n,False,141,0,0,80.28675,67.76,0.0,0.0,5.27,32.71,https://y.gtimg.cn/music/photo_new/T002R500x500M000003lKa1y3gVIvi_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,161,480650225,疯狂爱人,汪苏泷,001ObIOx0ODZvP,False,161,0,0,80.28322,63.52,0.0,0.0,4.24,44.32,https://y.gtimg.cn/music/photo_new/T002R500x500M000000A1M903iHvyT_4.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,162,533091713,怎么两清（做回甲乙丙丁）,欢子,003vHvQJ4WWyuJ,False,0,0,0,80.28259,68.66,0.0,0.0,5.74,20.87,https://y.gtimg.cn/music/photo_new/T002R500x500M0000014nuEU3rdpSA_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,163,525085674,In My Head,MIKS,000b8pg62ENzDu,False,105,0,0,80.22642,69.29,0.0,0.0,1.61,7.53,https://y.gtimg.cn/music/photo_new/T002R500x500M000003c6Y8R0h0KJ2_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,164,517370193,怎么能,侯明昊,003NyZSD2d3zPD,False,154,0,0,80.16562,60.44,0.0,0.0,9.95,47.2,https://y.gtimg.cn/music/photo_new/T002R500x500M000000SnDwr12zILh_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,165,512483930,满纸,阿鲲,001ifLic2K9S9m,False,170,0,0,80.16551,65.52,0.0,0.0,23.55,33.43,https://y.gtimg.cn/music/photo_new/T002R500x500M000003ZuKKp2FKC3S_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,166,490409162,满心愧疚 ,金润吉,003ht8Pb1OsDla,False,151,0,0,80.1372,67.94,0.0,0.0,11.14,16.6,https://y.gtimg.cn/music/photo_new/T002R500x500M000000cpsDu4LdGQl_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,167,513759604,何故,刘宇宁,004SKGhv0yCThR,False,165,0,0,80.05915,62.55,0.0,0.0,11.1,43.96,https://y.qq.com/music/photo_new/T062R500x500M0000039N97f1Tefsr.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,168,493167498,着火的沉默世界,鞠婧祎,001hEuIs1wa2cl,False,185,0,0,80.03086,57.7,0.0,0.0,2.79,49.08,https://y.gtimg.cn/music/photo_new/T002R500x500M000004KDXGi1hJ81f_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,169,531353214,乐此不疲,陈伟霆,002X5EiS0uAdZb,False,77,0,0,80.00515,61.99,0.0,0.0,3.01,45.31,https://y.gtimg.cn/music/photo_new/T002R500x500M000002MRWBb0HhAAO_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,170,491667172,我把心事说给风,卡带森林,000OQmxP3RSXvi,False,156,0,0,79.4943,64.24,0.0,0.0,25.51,31.48,https://y.gtimg.cn/music/photo_new/T002R500x500M000000IRsNV4XLaqL_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,171,532132066,爱上你不是我决定,"萧敬腾,A-Lin",003OqX3q1zfyWc,False,0,0,0,79.48916,66.86,0.0,0.0,1.79,29.21,https://y.gtimg.cn/music/photo_new/T002R500x500M000002SmGro3c7ENS_1.jpg
